City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
82,nova sintra,14.8667,-24.7167,25.66,76,97,7.28,CV,1734307719
83,port elizabeth,-33.918,25.5701,17.4,95,98,1.34,ZA,1734307721
84,stuarts draft,38.0301,-79.0336,2.16,96,100,2.57,US,1734307722
85,edinburgh of the seven seas,-37.0676,-12.3116,14.12,70,100,6.25,SH,1734307723
86,al ain city,24.1917,55.7606,13.79,82,0,2.06,AE,1734307724
87,maunabo,18.0072,-65.8993,25.66,84,9,1.77,PR,1734307725
88,bereeda,11.8704,51.0579,24.67,69,3,7.03,SO,1734307726
89,iqaluit,63.7506,-68.5145,-13.5,78,80,3.58,CA,1734307727
90,ancud,-41.8697,-73.8203,14.33,83,87,1.13,CL,1734307728
91,at taj,24.2049,23.2857,10.89,48,99,4.41,LY,1734307729
92,mareeba,-17.0,145.4333,32.57,47,12,1.11,AU,1734307731
93,springbok,-29.6643,17.8865,13.21,85,53,2.21,ZA,1734307732
94,itoman,26.1247,127.6694,17.01,56,75,6.17,JP,1734307733
95,tobol'sk,58.2,68.2667,-14.08,88,100,5.74,RU,1734307734
96,albany,42.6001,-73.9662,-0.95,71,100,1.85,US,1734307503
97,fort mcmurray,56.7268,-111.381,-12.23,78,100,5.14,CA,1734307572
98,isokyro,63.0117,22.3333,-9.09,94,100,4.93,FI,1734307738
99,bullsbrook,-31.6667,116.0,19.97,63,100,2.06,AU,1734307739
100,west island,-12.1568,96.8225,24.99,94,100,5.14,CC,1734307740
101,stanley,54.868,-1.6985,10.85,82,100,10.8,GB,1734307741
102,invercargill,-46.4,168.35,11.68,72,99,4.92,NZ,1734307742
103,mazara del vallo,37.6641,12.588,11.07,75,16,4.87,IT,1734307743
104,argo,37.6333,22.7333,12.02,79,100,3.12,GR,1734307744
105,noumea,-22.2763,166.4572,27.59,68,55,5.08,NC,1734307746
106,pisco,-13.7,-76.2167,20.03,77,0,8.23,PE,1734307747
107,khandyga,62.6667,135.6,-38.86,99,45,0.96,RU,1734307748
108,revda,56.801,59.9303,-12.15,89,100,3.83,RU,1734307749
109,soio,-6.1349,12.3689,26.25,89,84,2.7,AO,1734307750
110,withernsea,53.7311,0.0335,12.19,78,100,10.95,GB,1734307751
111,kloulklubed,7.0419,134.2556,27.36,84,100,5.29,PW,1734307752
112,garissa,-0.4536,39.6401,25.38,72,87,3.98,KE,1734307754
113,slavyanka,42.8633,131.3847,-7.46,54,0,3.15,RU,1734307755
114,korla,41.7597,86.1469,-11.72,84,62,2.26,CN,1734307756
115,villamontes,-21.25,-63.5,22.02,45,62,1.87,BO,1734307757
116,hawera,-39.5917,174.2833,20.6,61,100,4.97,NZ,1734307758
117,tsiombe,-25.3,45.4833,24.1,67,46,2.69,MG,1734307759
118,codrington,-38.2667,141.9667,36.84,20,35,12.86,AU,1734307760
119,papao,-17.75,-149.55,29.82,72,67,4.96,PF,1734307761
120,quepos,9.4236,-84.1652,25.49,80,11,0.77,CR,1734307763
121,chonchi,-42.6128,-73.8092,15.19,76,95,1.67,CL,1734307764
122,tura,25.5198,90.2201,13.82,64,0,1.7,IN,1734307765
123,fort bragg,35.139,-79.006,13.28,78,100,0.45,US,1734307766
124,petropavlovsk-kamchatsky,53.0452,158.6483,-10.67,57,0,4.0,RU,1734307767
125,san rafael del yuma,18.4299,-68.6739,22.63,92,22,1.91,DO,1734307768
126,chernyshevskiy,63.0128,112.4714,-31.73,100,80,0.72,RU,1734307769
127,ta`u,-14.2336,-169.5144,27.08,77,32,3.26,AS,1734307772
128,khash,28.2211,61.2158,1.0,64,4,2.99,IR,1734307774
129,olonkinbyen,70.9221,-8.7187,-0.8,87,100,11.83,SJ,1734307775
130,tallkayf,36.4894,43.1192,5.16,26,73,1.69,IQ,1734307776
131,mejit,10.2753,170.8646,27.38,82,77,9.4,MH,1734307777
132,susuman,62.7833,148.1667,-26.08,99,100,1.46,RU,1734307778
133,hami,42.8,93.45,-9.11,59,0,1.4,CN,1734307781
134,kargasok,59.0556,80.8572,-12.92,86,100,6.64,RU,1734307782
135,angaur state,6.906,134.13,27.51,82,100,5.35,PW,1734307783
136,beaufort west,-32.3567,22.583,14.63,74,20,3.44,ZA,1734307784
137,taksimo,56.3444,114.8794,-21.47,88,10,1.76,RU,1734307785
138,hermanus,-34.4187,19.2345,14.86,61,22,2.47,ZA,1734307786
139,mantyharju,61.4167,26.8833,-11.26,96,100,3.61,FI,1734307788
140,bredasdorp,-34.5322,20.0403,12.61,63,34,2.17,ZA,1734307789
141,lompoc,34.6391,-120.4579,17.79,60,0,5.66,US,1734307790
142,tadine,-21.55,167.8833,28.53,70,92,3.21,NC,1734307791
143,caluula,11.9661,50.7569,25.32,67,4,7.21,SO,1734307792
144,sur,22.5667,59.5289,23.03,56,0,7.38,OM,1734307793
145,selfoss,63.9331,-20.9971,0.02,85,93,1.2,IS,1734307794
146,margaret river,-33.95,115.0667,17.14,56,66,5.32,AU,1734307795
147,chulucanas,-5.0925,-80.1625,26.51,53,41,4.83,PE,1734307797
148,salinopolis,-0.6136,-47.3561,26.37,83,46,5.25,BR,1734307798
149,punta arenas,-53.15,-70.9167,13.06,47,40,11.83,CL,1734307799
150,isangel,-19.55,169.2667,29.77,68,97,2.43,VU,1734307800
151,ga-kgapane,-23.6333,30.2167,20.51,79,2,1.73,ZA,1734307801
152,boca suno,-0.7167,-77.1333,22.97,94,95,0.81,EC,1734307802
153,manokwari,-0.8667,134.0833,27.8,75,99,1.71,ID,1734307804
154,paphos,34.7667,32.4167,12.88,76,40,3.09,CY,1734307805
155,tulagi,-9.0996,160.1476,28.92,75,50,2.81,SB,1734307806
156,sal rei,16.1833,-22.9167,24.68,82,100,5.26,CV,1734307807
157,vorgashor,67.5833,63.95,-17.23,98,100,2.86,RU,1734307808
158,kerikeri,-35.2268,173.9474,21.62,93,100,0.45,NZ,1734307800
159,gazojak,41.1875,61.4036,-2.53,67,2,5.12,TM,1734307810
160,aasiaat,68.7098,-52.8699,-11.25,95,100,2.36,GL,1734307811
161,warman,52.3168,-106.5679,-9.5,85,100,4.74,CA,1734307813
162,domoni,-12.2569,44.5319,26.25,87,21,4.26,KM,1734307814
163,tinghir,31.5157,-5.5343,9.73,45,67,0.73,MA,1734307815
164,kingscliff,-28.2667,153.5667,27.19,83,75,7.72,AU,1734307816
165,karyes,37.3,22.5,6.46,80,100,1.78,GR,1734307817
166,arno,60.1167,18.6333,7.4,81,100,10.33,SE,1734307818
167,kyakhta,50.3508,106.4494,-23.58,98,10,1.39,RU,1734307820
168,afaahiti,-17.75,-149.2833,25.59,81,84,6.05,PF,1734307821
169,alesund,62.4723,6.1549,7.64,66,40,9.26,NO,1734307822
170,antofagasta,-23.65,-70.4,18.6,82,20,2.51,CL,1734307823
171,tobruk,32.0836,23.9764,15.35,60,11,5.0,LY,1734307824
172,bikenibeu village,1.3673,173.1241,30.98,70,20,3.6,KI,1734307825
173,labytnangi,66.6572,66.4183,-18.08,82,100,4.7,RU,1734307826
174,ciudad bolivar,8.1222,-63.5497,29.97,55,100,4.56,VE,1734307827
175,erenhot,43.6475,111.9767,-9.52,65,0,3.18,CN,1734307829
176,cangucu,-31.395,-52.6756,16.03,99,100,6.36,BR,1734307830
